 2018/11/19 03:49:14 10.61.130.144   958.68
 2018/11/19 03:49:15 10.56.41.193    1.0246
 2018/11/19 03:49:16 10.61.128.1     1.0706
 2018/11/19 03:49:17 10.61.2.1       975.68
 2018/11/19 03:49:23 10.61.6.1       0s
 2018/11/19 03:49:29 10.61.1.1       0s
 2018/11/19 03:49:30 10.61.129.1     958.66
 2018/11/19 03:49:31 10.61.129.144   930.69
 2018/11/19 03:49:32 10.61.131.1     947.69
 2018/11/19 03:49:38 10.61.133.1     0s
 2018/11/19 03:49:44 10.56.41.161    0s
 2018/11/19 03:49:50 10.61.132.1     0s
 2018/11/19 03:49:51 10.61.130.1     962.69
 2018/11/19 03:57:52 10.61.130.1     927.69
 2018/11/19 03:57:58 10.61.132.1     0s
 2018/11/19 03:57:59 10.61.130.144   959.68
 2018/11/19 03:58:00 10.56.41.193    1.0006
 2018/11/19 03:58:06 10.61.8.1       0s
 2018/11/19 03:58:07 10.61.2.1       1.0036
 2018/11/19 03:58:13 10.61.6.1       0s
 2018/11/19 03:58:19 10.61.1.1       0s
 2018/11/19 03:58:20 10.61.128.1     968.68
 2018/11/19 03:58:21 10.61.129.144   929.69
 2018/11/19 03:58:22 10.61.131.1     968.68
 2018/11/19 03:58:28 10.61.133.1     0s
 2018/11/19 03:58:34 10.56.41.161    0s
 2018/11/19 03:58:35 10.61.129.1     1.0126
 2018/11/19 04:06:36 10.61.130.1     982.68
 2018/11/19 04:06:42 10.61.132.1     0s
 2018/11/19 04:06:43 10.56.41.193    1.0056
 2018/11/19 04:06:49 10.61.8.1       0s
 2018/11/19 04:06:50 10.61.130.144   1.0376
 2018/11/19 04:06:56 10.61.1.1       0s
 2018/11/19 04:06:57 10.61.128.1     1.0026
 2018/11/19 04:06:58 10.61.2.1       992.67
 2018/11/19 04:07:04 10.61.6.1       0s
 2018/11/19 04:07:10 10.61.133.1     0s
 2018/11/19 04:07:16 10.56.41.161    0s
 2018/11/19 04:07:17 10.61.129.1     950.66
 2018/11/19 04:07:18 10.61.129.144   998.67
 2018/11/19 04:07:19 10.61.131.1     979.68
 2018/11/19 04:15:25 10.61.1.1       0s
 2018/11/19 04:15:26 10.61.128.1     957.66
 2018/11/19 04:15:27 10.61.2.1       990.67
 2018/11/19 04:15:33 10.61.6.1       0s
 2018/11/19 04:15:39 10.56.41.161    0s
 2018/11/19 04:15:40 10.61.129.1     953.66
 2018/11/19 04:15:41 10.61.129.144   969.68
 2018/11/19 04:15:42 10.61.131.1     955.68
 2018/11/19 04:15:48 10.61.133.1     0s
 2018/11/19 04:15:49 10.61.130.1     1.0886
 2018/11/19 04:15:55 10.61.132.1     0s
 2018/11/19 04:15:56 10.56.41.193    960.66
 2018/11/19 04:16:02 10.61.8.1       0s
 2018/11/19 04:16:03 10.61.130.144   941.66
 2018/11/19 04:24:04 10.61.130.1     967.65
 2018/11/19 04:24:10 10.61.132.1     0s
 2018/11/19 04:24:11 10.56.41.193    1.0616
 2018/11/19 04:24:17 10.61.8.1       0s
 2018/11/19 04:24:18 10.61.130.144   983.67
 2018/11/19 04:24:24 10.61.6.1       0s
 2018/11/19 04:24:30 10.61.1.1       0s
 2018/11/19 04:24:31 10.61.128.1     948.69
 2018/11/19 04:24:32 10.61.2.1       934.69
 2018/11/19 04:24:33 10.61.131.1     967.68
 2018/11/19 04:24:39 10.61.133.1     0s
 2018/11/19 04:24:45 10.56.41.161    0s
 2018/11/19 04:24:46 10.61.129.1     1.0426
 2018/11/19 04:24:47 10.61.129.144   943.69
 2018/11/19 04:32:53 10.61.1.1       0s
 2018/11/19 04:32:54 10.61.128.1     998.67
 2018/11/19 04:32:55 10.61.2.1       981.68
 2018/11/19 04:33:01 10.61.6.1       0s
 2018/11/19 04:33:07 10.56.41.161    0s
 2018/11/19 04:33:08 10.61.129.1     984.65
 2018/11/19 04:33:09 10.61.129.144   939.69
 2018/11/19 04:33:10 10.61.131.1     977.68
 2018/11/19 04:33:16 10.61.133.1     0s
 2018/11/19 04:33:17 10.61.130.1     954.66
 2018/11/19 04:33:23 10.61.132.1     0s
 2018/11/19 04:33:25 10.56.41.193    1.9713
 2018/11/19 04:33:31 10.61.8.1       0s
 2018/11/19 04:33:32 10.61.130.144   1.0286
 2018/11/19 04:41:38 10.61.132.1     0s
 2018/11/19 04:41:39 10.61.130.1     1.0026
 2018/11/19 04:41:45 10.61.8.1       0s
 2018/11/19 04:41:46 10.61.130.144   966.65
